Released,Model,Family,Discontinued,Future release,Source link
"June 01, 1979",Apple II EuroPlus,,current,false,https://en.wikipedia.org/wiki/Apple_II_Plus#Apple_II_Europlus_and_J-Plus
"June 01, 1979",Apple II J-Plus,,current,false,https://en.wikipedia.org/wiki/Apple_II_Plus#Apple_II_Europlus_and_J-Plus
"June 01, 1979",Bell & Howell,,current,false,https://en.wikipedia.org/wiki/Apple_II_Plus#Bell_&_Howell
"June 01, 1979",Bell & Howell Disk II,Drives,"December 1, 1982",false,https://en.wikipedia.org/wiki/Disk_II
"June 01, 1979",Apple SilenType,Printers,"October 1, 1982",false,https://en.wikipedia.org/wiki/Apple_SilenType
"November 01, 1980",Modem IIB(Novation CAT),Modems,"December 1, 1981",false,https://en.wikipedia.org/wiki/Novation_CAT
"November 01, 1980",Printer IIA(Centronics 779),Printers,"December 1, 1981",false,https://en.wikipedia.org/wiki/Centronics
"November 01, 1980",Monitor III,Displays,"December 1, 1981",false,https://en.wikipedia.org/wiki/Apple_Monitor_III
"November 01, 1980",Monitor II(various third party),Displays,"December 1, 1981",false,https://en.wikipedia.org/wiki/Apple_displays
"November 01, 1980",Disk III,Drives,"May 1, 1984",false,https://en.wikipedia.org/wiki/Disk_III
"October 01, 1982",Apple Daisy Wheel Printer,Printers,"December 1, 1983",false,https://en.wikipedia.org/wiki/Apple_Daisy_Wheel_Printer
"December 01, 1983",Apple ImageWriter,ImageWriter,"December 1, 1985",false,https://en.wikipedia.org/wiki/Apple_ImageWriter
"January 24, 1984",Macintosh External Disk Drive (400K),Drives,"January 1, 1986",false,https://en.wikipedia.org/wiki/Macintosh_External_Disk_Drive#400K
"April 01, 1984",Apple Scribe Printer,Printers,"December 1, 1985",false,https://en.wikipedia.org/wiki/Apple_Scribe_Printer
"April 01, 1984",Apple Mouse IIc,Pointing devices,"December 1, 1985",false,https://en.wikipedia.org/wiki/Apple_Mouse#Apple_Mouse_IIc
"April 01, 1984",Disk IIc,Drives,[?],false,https://en.wikipedia.org/wiki/Disk_IIc
"May 01, 1984",Apple ImageWriter Wide Carriage,Printers,[?],false,https://en.wikipedia.org/wiki/Apple_ImageWriter
"September 10, 1984",Macintosh 128K (revised),Compact,"October 1, 1985",false,https://en.wikipedia.org/wiki/Macintosh_128K#Models
"January 01, 1985",Apple LaserWriter,Printers,"December 1, 1985",false,https://en.wikipedia.org/wiki/Apple_LaserWriter
"January 01, 1985",Apple LocalTalk Connector,Networking,[?],false,https://en.wikipedia.org/wiki/LocalTalk
"April 01, 1985",Apple ImageWriter II,Printers,1996,false,https://en.wikipedia.org/wiki/Apple_ImageWriter_II
"September 01, 1985",Apple UniDisk 3.5,Drives,"January 1, 1987",false,https://en.wikipedia.org/wiki/Macintosh_External_Disk_Drive#Apple_UniDisk_3.5
"September 01, 1985",Apple ColorMonitor IIe,Displays,[?],false,https://en.wikipedia.org/wiki/ColorMonitor_IIe/AppleColor_Composite_Monitor_IIe
"September 01, 1985",Apple ColorMonitor IIc,Displays,[?],false,https://en.wikipedia.org/wiki/Apple_displays
"January 16, 1986",Macintosh 800K External Drive,Drives,[?],false,https://en.wikipedia.org/wiki/Macintosh_External_Disk_Drive#Macintosh_800K_External_Drive
"September 15, 1986",Apple IIc Memory Expansion,Apple II,"September 1, 1988",false,https://en.wikipedia.org/wiki/Apple_IIc#Memory_Expansion_IIc_(ROM_version_‘3’)
"September 15, 1986",Apple Hard Disk 20SC,Drives,[?],false,https://en.wikipedia.org/wiki/Hard_Disk_20SC
